"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Apr-2025","EQ","1,836.00","1,838.90","1,813.40","1,817.20","1,820.30","1,821.80","1,822.30","1,904.30","1,219.05","33,01,891","6,01,70,36,292.30","1,00,779"
"25-Apr-2025","EQ","1,846.70","1,861.70","1,806.00","1,845.60","1,815.00","1,817.20","1,822.78","1,904.30","1,219.05","45,70,083","8,33,02,54,030.30","1,23,799"
"24-Apr-2025","EQ","1,874.50","1,877.80","1,839.50","1,881.60","1,846.10","1,845.60","1,849.47","1,904.30","1,219.05","51,80,688","9,58,15,34,808.10","1,36,668"
"23-Apr-2025","EQ","1,867.00","1,885.90","1,836.10","1,852.20","1,869.90","1,881.60","1,861.63","1,904.30","1,219.05","68,55,027","12,76,15,37,178.80","1,49,770"
"22-Apr-2025","EQ","1,888.00","1,888.00","1,836.80","1,883.40","1,848.20","1,852.20","1,856.49","1,904.30","1,219.05","61,55,127","11,42,69,50,907.90","1,96,921"
"21-Apr-2025","EQ","1,898.40","1,904.30","1,868.60","1,889.10","1,884.00","1,883.40","1,881.04","1,904.30","1,219.05","35,01,123","6,58,57,58,282.30","1,54,074"
"17-Apr-2025","EQ","1,834.00","1,897.70","1,825.70","1,822.60","1,882.90","1,889.10","1,866.68","1,897.70","1,210.35","1,08,94,325","20,33,61,74,780.80","2,85,724"
"16-Apr-2025","EQ","1,802.40","1,826.50","1,794.10","1,798.80","1,821.00","1,822.60","1,810.55","1,826.50","1,210.35","61,80,958","11,19,09,47,200.50","1,69,343"
"15-Apr-2025","EQ","1,808.20","1,820.00","1,781.10","1,756.60","1,798.00","1,798.80","1,799.90","1,820.00","1,210.35","1,03,13,411","18,56,31,02,108.70","2,25,430"
"11-Apr-2025","EQ","1,760.00","1,767.00","1,732.35","1,715.55","1,760.60","1,756.60","1,756.34","1,779.00","1,183.10","83,40,002","14,64,78,37,496.05","2,40,119"
"09-Apr-2025","EQ","1,719.65","1,726.85","1,711.60","1,720.40","1,715.10","1,715.55","1,717.91","1,779.00","1,183.10","56,00,666","9,62,14,35,360.40","1,66,612"
"08-Apr-2025","EQ","1,720.70","1,742.30","1,706.80","1,686.65","1,721.35","1,720.40","1,723.59","1,779.00","1,183.10","72,06,935","12,42,17,75,636.65","2,51,891"
"07-Apr-2025","EQ","1,730.00","1,774.75","1,669.40","1,743.45","1,693.00","1,686.65","1,708.22","1,779.00","1,183.10","1,48,70,388","25,40,19,30,206.30","4,03,223"
"04-Apr-2025","EQ","1,754.50","1,770.80","1,740.00","1,746.00","1,740.50","1,743.45","1,753.12","1,779.00","1,183.10","78,17,334","13,70,47,22,222.15","2,58,867"
"03-Apr-2025","EQ","1,748.00","1,754.95","1,735.45","1,754.60","1,742.50","1,746.00","1,746.33","1,779.00","1,183.10","23,41,989","4,08,98,93,735.20","91,775"
"02-Apr-2025","EQ","1,720.00","1,760.40","1,716.95","1,724.15","1,751.15","1,754.60","1,747.29","1,779.00","1,183.10","64,31,226","11,23,72,22,453.50","1,37,465"
